Company|PR_No|Item_No|Delete_Status|Purchasing_Group|Date|Requester|Item_Descriptiom|Item_Code|Plant|Tracking_No|Material_Group|Material_Group_Des|Quantity|Unit|Requisition_Date|Delivery_Date|Release_Date|Price_PR|Price_Unit|Total_Value|Desired_Vendor_Name|Fixed_Vendor_Name|Purchasing_Org|PO_No|PO_ITEM_NO|PO_DATE|PR_Closed|PR_Fixed|Currency|Account_Ass_Cat|GL_Account|Cost_Center|WBS_Code|Department|Section|Objective|comment
TPCC|0010233263|00010||CH1|20210329|Kununya|BOX FOR OCTAGON BOX 700 KG (TRIWALL)|2539-1A|PC01|C60218034|2000|TPCC Raw Material|600.000 |PC|20210316|20210401|20210316|1014.00 |1 |608400 |||||00000|00000000|||THB||||||||
TPCC|0010233263|00020||CH1|20210329|Kununya|CAP & TRAY FOR OCTAGON BOX (TRIWALL)|2539-1B|PC01|C60218034|2000|TPCC Raw Material|1200.000 |PC|20210316|20210401|20210316|72.00 |1 |86400 |||||00000|00000000|||THB||||||||
TPCC|0010233264|00010||CH1|20210329|Kununya|BOX FOR OCTAGON BOX 700 KG (UNION)|2539-2A|PC01|C60218035|2000|TPCC Raw Material|600.000 |PC|20210316|20210401|20210316|1092.00 |1 |655200 ||||4530091112|00010|20210329|||THB||||||||
TPCC|0010233264|00020||CH1|20210329|Kununya|CAP & TRAY FOR OCTAGON BOX (UNION)|2539-2B|PC01|C60218035|2000|TPCC Raw Material|1200.000 |PC|20210316|20210401|20210316|73.50 |1 |88200 ||||4530091112|00020|20210329|||THB||||||||
TPCC|0010233422|00010||CH1|20210329|Kununya|SANREX 290FF (JAPAN)|000000000000002799|PC01|C60215202|2000|TPCC Raw Material|5000.000 |KG|20210318|20210701|20210629|81.90 |1 |409500 ||||4530091106|00030|20210329|||THB||||||||
TPCC|0010233424|00010||CH1|20210329|Kununya|PFC310 (JAPAN)|2349-01|PC01|C60215204|2000|TPCC Raw Material|10000.000 |KG|20210318|20210601|20210530|188.36 |1 |1883600 ||||4530091106|00060|20210329|||THB||||||||
TPCC|0010233428|00010||CH1|20210329|Kununya|KANE ACE M-732 (JAPAN)|2725-19|PC01|C60215208|2000|TPCC Raw Material|5000.000 |KG|20210318|20210620|20210618|163.93 |1 |819650 ||||4530091106|00050|20210329|||THB||||||||
TPCC|0010233432|00010||CH1|20210329|Kununya|UV3638F (USA.)|2323-02|PC01|C60215211|2000|TPCC Raw Material|500.000 |KGS|20210318|20210701|20210629|3361.24 |1 |1680620 ||||4530091106|00010|20210329|||THB||||||||
TPCC|0010233435|00010||CH1|20210329|Kununya|SH-1250 (China)|2720-08|PC01|C60215214|2000|TPCC Raw Material|3000.000 |KG|20210318|20210601|20210530|63.55 |1 |190650 ||||4530091106|00040|20210329|||THB||||||||
TPCC|0010233436|00010||CH1|20210329|Kununya|HICON TALC R-10 (JAPAN)|2720-17|PC01|C60215215|2000|TPCC Raw Material|5000.000 |KG|20210318|20210601|20210530|95.71 |1 |478550 ||||4530091107|00010|20210329|||THB||||||||
TPCC|0010233443|00010||CHA|20210329|Kununya|PTMG1500 (Japan)|2327-04|PC01|C60215222|2000|TPCC Raw Material|2000.000 |KG|20210318|20210620|20210618|212.69 |1 |425380 ||||4530091106|00020|20210329|||THB||||||||
TPCC|0010233760|00010||CH1|20210329|Kununya|OCTRAGON BOX non printing  (TRIWALL)|2539-1AN1|PC01|C60218037|2000|TPCC Raw Material|100.000 |PC|20210325|20210401|20210325|994.00 |1 |99400 |||||00000|00000000|||THB||||||||
MEPT|0010233874|00010||CH1|20210329|SUTTINEE|NOVADURAN 5010R4G GN04Y|5010R4G GN04YIM|MP01|M02210453|9000|Finished Product|300.000 |KG|20210329|20210601|20210601|5367.00 |1000 |50447.8142100 |MEPCOM FOSHAN CORP.||||00000|00000000|||THB||||||||RAYONG), PO NO.PO-20213025, PLEASE ISSUE PO TO MEPCOM FOSHAN.
MEPT|0010233877|00010||CH1|20210329|SUTTINEE|IUPILON S3000R R8MYJ                   A|S3000R R8MYJIM|MP01|M02210454|9000|Finished Product|1000.000 |KG|20210329|20210601|20210601|7684.00 |1000 |240755.856400 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||PLASTICS, PO NO.460564579.
MEPT|0010233912|00010||CH1|20210329|SUTTINEE|IUPILON KH3310UR 75FQNS                A|KH3310UR 75FQNSIM|MP01|M02210455|9000|Finished Product|1000.000 |KG|20210329|20210610|20210610|20645.00 |1000 |646851.204500 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||NISSIN MOLD, PO NO.MB-089/2021.
MEPT|0010233914|00010||CH1|20210329|SUTTINEE|IUPILON S3000R R8NEJ                   A|S3000R R8NEJIM|MP01|M02210456|9000|Finished Product|500.000 |KG|20210329|20210701|20210701|6055.00 |1000 |94857.9327500 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||NISSIN MOLD, PO NO.MB-088/2021.
MEPT|0010233915|00010||CH1|20210329|SUTTINEE|IUPILON S3000UR R5WGQ                  A|S3000UR R5WGQIM|MP01|M02210457|9000|Finished Product|1000.000 |KG|20210329|20210712|20210712|5762.00 |1000 |180535.560200 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||NISSIN MOLD, PO NO.MB-087/2021.
