Company|PR_No|Item_No|Delete_Status|Purchasing_Group|Date|Requester|Item_Descriptiom|Item_Code|Plant|Tracking_No|Material_Group|Material_Group_Des|Quantity|Unit|Requisition_Date|Delivery_Date|Release_Date|Price_PR|Price_Unit|Total_Value|Desired_Vendor_Name|Fixed_Vendor_Name|Purchasing_Org|PO_No|PO_ITEM_NO|PO_DATE|PR_Closed|PR_Fixed|Currency|Account_Ass_Cat|GL_Account|Cost_Center|WBS_Code|Department|Section|Objective|comment
TPCC|0010239816|00010||CH1|20210816|Kununya|GG-900D (JAPAN)|2722-01A|PC01|C60215491|2000|TPCC Raw Material|30000.000 |KG|20210715|20211101|20211030|96.87 |1 |2906100 |||||00000|00000000|||THB|||||TC|PT||
TPCC|0010241003|00010||CH1|20210816|Kununya|WE-476 (JAPAN)|2352-F|PC01|C60215495|2000|TPCC Raw Material|500.000 |KG|20210809|20211201|20211129|101.28 |1 |50640 ||||4530092669|00030|20210715|||THB||||||||
TPCC|0010241017|00010||CH1|20210816|Kununya|7030PJ (KOREA)|2726-02A|PC01|C60215503|2000|TPCC Raw Material|5000.000 |KGS|20210809|20211115|20211113|142.59 |1 |712950 |||||00000|00000000|||THB||||||||
TPCC|0010241017|00020||CH1|20210816|Kununya|7030PJ (KOREA)|2726-02A|PC01|C60215503|2000|TPCC Raw Material|5000.000 |KGS|20210809|20211201|20211129|142.59 |1 |712950 |||||00000|00000000|||THB||||||||
MEPT|0010241425|00010||CH1|20210816|SUTTINEE|NOVADURAN (PBT) 5010G45 BK2 (BLACK)    A|5010G45 BK2IM|MP01|M02211047|9000|Finished Product|1000.000 |KG|20210816|20210919|20210919|6447.00 |1000 |215282.736900 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||
