Company|PR_No|Item_No|Delete_Status|Purchasing_Group|Date|Requester|Item_Descriptiom|Item_Code|Plant|Tracking_No|Material_Group|Material_Group_Des|Quantity|Unit|Requisition_Date|Delivery_Date|Release_Date|Price_PR|Price_Unit|Total_Value|Desired_Vendor_Name|Fixed_Vendor_Name|Purchasing_Org|PO_No|PO_ITEM_NO|PO_DATE|PR_Closed|PR_Fixed|Currency|Account_Ass_Cat|GL_Account|Cost_Center|WBS_Code|Department|Section|Objective|comment
MEPT|0010240289|00010||CH1|20210828|PARINDA|NOVADURAN (PBT) 5010G15 BK2 (BLACK)    A|5010G15 BK2IM|MP01|TEST00001|9000|Finished Product|1000.000 |KG|20210828|20211202|20211202|5558.00 |1000 |183507.930200 |MEPCOM FOSHAN CORP.||||00000|00000000|||THB|||||MK|||,PO.CTH0105253, PLEASE ISSUE PO TO MEPCOM.
MEPT|0010240290|00010||CH1|20210828|PARINDA|GLASS FIBER T187|7243-1|MP51|TEST00002|7000|MEPT raw material|3000.000 |KG|20210828|20211008|20211008|1330.00 |1000 |131737.4310 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||
MEPT|0010240290|00020||CH1|20210828|PARINDA|TALC MICRON WHITE#5000S|000000000000007235|MP51|TEST00002|7000|MEPT raw material|30.000 |KG|20210828|20211008|20211008|1440.00 |1000 |1426.3300800 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||
MEPT|0010240290|00030||CH1|20210828|PARINDA|Seenox 412S|000000000000007236|MP51|TEST00002|7000|MEPT raw material|40.000 |KG|20210828|20211008|20211008|16760.00 |1000 |22134.5297600 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||
MEPT|0010240290|00040||CH1|20210828|PARINDA|MITSUI HI-WAX 405MP|000000000000007238|MP51|TEST00002|7000|MEPT raw material|100.000 |KG|20210828|20211008|20211008|5000.00 |1000 |16508.4500 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||
MEPT|0010240290|00050||CH1|20210828|PARINDA|ACRYLIC COPOLYMER PARALOID KM-330|000000000000007239|MP51|TEST00002|7000|MEPT raw material|1587.600 |KG|20210828|20211008|20211008|5330.00 |1000 |279385.970245200 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||
