Company|PR_No|Item_No|Delete_Status|Purchasing_Group|Date|Requester|Item_Descriptiom|Item_Code|Plant|Tracking_No|Material_Group|Material_Group_Des|Quantity|Unit|Requisition_Date|Delivery_Date|Release_Date|Price_PR|Price_Unit|Total_Value|Desired_Vendor_Name|Fixed_Vendor_Name|Purchasing_Org|PO_No|PO_ITEM_NO|PO_DATE|PR_Closed|PR_Fixed|Currency|Account_Ass_Cat|GL_Account|Cost_Center|WBS_Code|Department|Section|Objective|comment
TPCC|0010239425|00010||CH1|20210712|Kununya|IRGAFOS 168 (SINGAPORE)|2302-A|PC01|C60215442|2000|TPCC Raw Material|720.000 |KG|20210708|20211101|20211030|145.91 |1 |105055.2 |||||00000|00000000|||THB||||||||
TPCC|0010239429|00010||CH1|20210712|Kununya|RB-968G (JAPAN)|2741-1|PC01|C60215446|2000|TPCC Raw Material|1000.000 |KG|20210708|20211101|20211030|206.80 |1 |206800 |||||00000|00000000|||THB||||||||
MEPT|0010239578|00010||CH1|20210712|SUTTINEE|IUPILON MB6001UR 8566H (SMOKE)         A|MB6001UR 8566HIM|MP01|M02210888|9000|Finished Product|500.000 |KG|20210712|20210901|20210901|20556.00 |1000 |337277.709000 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||FUJI PLASTICS(NAGASE).
